id,product_name,brand,price,reviews_count,avg_rate
84,Me Now LipLiner Pencil Package - 12 Colors - 12 Pcs,Me Now,EGP 199.00,561 verified ratings,3.9/5
85,Me Now Pro Waterproof Longlasting Eyeliner Kohl - 01 - 1.35g,Me Now Pro,EGP 35.00,383 verified ratings,4.2/5
86,NIVEA Cocoa Butter Body Lotion Cream For Dry Skin - 200ml,NIVEA,EGP 43.00,1013 verified ratings,4.6/5
87,Adult Roller Skates Brakes Pads Inline Roller Skate Shoes,(1 verified rating),EGP 288.00,1 verified rating,1/5
88,Tresemme Pack of Botanix Nourish & Replenish Shampoo 400 ml + Botanix Nourish & Replenish Hair Conditioner – 400 ml,Tresemme,EGP 119.95,170 verified ratings,4.5/5
89,Karimed SNOW SHINE Free Sulfate Face Wash Gel For Oily Skin 150ML Plus Micellar Water 100ML,Karimed,EGP 59.00,14 verified ratings,4.4/5
90,Sunsilk Give Me Smooth Hair Oil Blooms - 250 Ml,Sunsilk,EGP 31.95,47 verified ratings,4.5/5
91,Mesery Bundle Of Six Men Boxers,Mesery,EGP 199.99,3125 verified ratings,4.2/5
92,Adidas Pure Game - EDT - For Men - 100ml,Adidas,EGP 125.00,582 verified ratings,4/5
93,Dove Care Bundle - Intensive Repair Shampoo + Conditioner + Hand Wash + Free Bag,Dove,EGP 126.95,64 verified ratings,4.7/5
94,NIVEA Invisible Black & White Silky Smooth Antiperspirant Deodorant Spray - For Women - 150ml,NIVEA,EGP 45.50,654 verified ratings,4.5/5
95,UG 32AJ20B6M-32-Inch HD TV (ATA Warranty),UG,"EGP 2,005.00",5 verified ratings,4.8/5
96,Juhayna Juhayna Classic Juice – Orange – 1 L,Juhayna,EGP 10.00,15 verified ratings,4.3/5
97,Cottonil Bundle Of Three Breathable Cotton Undershirts - White,Cottonil,EGP 139.99,2288 verified ratings,4.3/5
98,American Eagle Super Soft Icon V-Neck T-Shirt,American Eagle,EGP 125.00,66 verified ratings,4.6/5
99,Mesery Bundle Of 4 Stretch Cotton Hotshort Panties,Mesery,EGP 100.00 - EGP 109.99,687 verified ratings,4.1/5
100,Sensodyne Extra Fresh Toothpaste for Sensitive Teeth - 100ml - Buy 2 Get 1 Free,Sensodyne,EGP 118.00,38 verified ratings,4.8/5
101,NIVEA Anti Perspirant Dry Fresh For Women - 150ml,NIVEA,EGP 44.00,140 verified ratings,4.6/5
102,Starville Whitening Roll On Whitening Offer,Starville Whitening,EGP 140.00,3 verified ratings,5/5
103,"Activ Patterned ""Hearts"" One Compartment Backpack - Black & Blue",Activ,EGP 149.00,8 verified ratings,4.9/5
104,Tresemme Pack of Keratin Smooth & Straight Shampoo 400 ml + Keratin Smooth & Straight Hair Conditioner – 400 ml + Free Makeup Bag,Tresemme,EGP 124.95,47 verified ratings,4.8/5
105,Dettol Cool Soap - 165g,Dettol,EGP 12.45,99 verified ratings,4.6/5
106,Toilet Cleaning Brush With Large Plastic Hand,(52 verified ratings),EGP 35.99,52 verified ratings,4.3/5
107,Knorr Chicken Stock – 12 Cubes – 108gm,Knorr,EGP 6.95,438 verified ratings,4.5/5
108,Emami 7 In 1 Non Sticky Hair Oil - 50ml,Emami,EGP 45.00,118 verified ratings,4.3/5
109,Lux Perfumed Hand Wash Magical Beauty – 500ml,Lux,EGP 52.75,83 verified ratings,4.5/5
110,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Blueberry Scent Plus Free Hand Wash 500ML,Karimed,EGP 109.00,7 verified ratings,4.7/5
111,Mesery Bundle Of Three Solid Bra - For Women,Mesery,EGP 99.99,98 verified ratings,3.5/5
112,Sensodyne Fluoride Toothpaste - 50ml,Sensodyne,EGP 28.00,23 verified ratings,4.7/5
113,Sokany Hair Straightener Brush Max 950 °F,Sokany,EGP 149.00,119 verified ratings,4.1/5
114,Me Now New Eyeshadow Professional Palette - 18 Colors,Me Now,EGP 199.00,824 verified ratings,4.4/5
115,Set Of 6 Pairs Short Socks Sport- High Quality,(71 verified ratings),EGP 39.00 - EGP 44.00,71 verified ratings,3.7/5
116,NIVEA Natural Fairness Face & Body Cream - 50ml,NIVEA,EGP 15.60,168 verified ratings,4.4/5
117,Tresemme Pack of Keratin Smooth & Straight Shampoo 400 ml + Keratin Smooth & Straight Hair Conditioner – 400 ml 50% off,Tresemme,EGP 113.95,146 verified ratings,4.5/5
118,L'Oreal Paris Hyaluron Expert 1.5% Hyaluronic Acid Serum - 30ml,L'Oreal Paris,EGP 255.00,2435 verified ratings,4.4/5
119,Karimed Brilliant Touch Shower Gel 1000ML 3Pcs. Peach Scent Plus Soap 500ml Free,Karimed,EGP 109.00,10 verified ratings,4.5/5
120,Karimed Brilliant Touch Shower Gel 1L 2Pcs. Blueberry Rose,Karimed,EGP 100.00,6 verified ratings,4.3/5
121,El Hassan White Sugar - 1 Kg,(No ratings available),EGP 17.99,,
